    [1208.31005859  494.88363647]
    [1234.24475098  474.82284546]
    [1282.6829834   497.91201782]
    [1195.15478516  475.86886597]
    [1176.53222656  499.75524902]
    [1332.3079834  1909.81872559]
    [1169.3236084  1872.64196777]
    [1221.63366699  961.52490234]
    [1218.49328613  846.609375  ]
    [1215.92810059  736.72839355]
    [1213.47241211  631.53967285]
    [1242.40930176  630.1819458 ]
    [1347.88879395  627.27301025]
    [1396.38659668  827.390625  ]
    [1476.15380859  762.29974365]
    [1495.7722168   746.29095459]
    [1539.88952637  710.29071045]
    [1462.52416992  744.76690674]
    [1184.99975586  631.76519775]
    [1088.9864502   634.41308594]
    [1026.08728027  818.94421387]
    [921.14337158 678.22161865]
    [898.51947021 647.88452148]
    [851.4621582  584.78387451]
    [900.80682373 618.48937988]
    [1304.62329102  966.51202393]
    [1323.36743164 1464.08105469]
    [1340.52526855 1891.87695312]
    [1349.02355957 2181.92016602]
    [1142.00585938  956.73986816]
    [1151.69934082 1432.63415527]
    [1167.83068848 1842.09143066]
    [1155.25341797 2112.31591797]
    [1201.35986328  527.48254395]
    [1201.84191895  494.16268921]
    [1228.46826172  474.14141846]
    [1279.89733887  497.8296814 ]
    [1189.73059082  476.22000122]
    [1174.35461426  502.3157959 ]
    [1343.62512207 1946.84094238]
    [1176.65209961 1896.4609375 ]
    [1224.94140625  966.67877197]
    [1222.21020508  850.99377441]
    [1220.37536621  740.12884521]
    [1218.61462402  633.74353027]
    [1247.80615234  632.55285645]
    [1355.19458008  630.25695801]
    [1409.15734863  822.58538818]
    [1479.15698242  791.49243164]
    [1496.65759277  783.71887207]
    [1536.43261719  766.0512085 ]
    [1458.47009277  795.39117432]
    [1189.94274902  633.78997803]
    [1093.04528809  635.86157227]
    [1048.45263672  829.07202148]
    [935.18792725 713.10351562]
    [910.10626221 687.4230957 ]
    [857.15411377 633.20684814]
    [913.45214844 666.35784912]
    [1309.01269531  972.54437256]
    [1326.79736328 1477.1237793 ]
    [1343.91381836 1910.49841309]
    [1350.04077148 2206.19970703]
    [1144.52648926  961.0682373 ]
    [1153.1574707  1442.00854492]
    [1169.23352051 1855.43652344]
    [1154.04846191 2129.34130859]
    [1205.05334473  527.63812256]
    [1205.58374023  493.94213867]
    [1233.13208008  473.83676147]
    [1286.90063477  498.31768799]
    [1194.20092773  476.3132019 ]
    [1180.61132812  503.74499512]
    [1347.67663574 1965.66711426]
    [1178.78186035 1910.01953125]
    [1218.4987793   965.11682129]
    [1216.85241699  849.61315918]
    [1216.6998291   738.22747803]
    [1216.55249023  630.6539917 ]
    [1246.3371582   630.34063721]
    [1351.70336914  631.26464844]
    [1378.34155273  845.55895996]
    [1285.86279297  679.72106934]
    [1265.66210938  643.49633789]
    [1223.33996582  567.60192871]
    [1191.98754883  619.17767334]
    [1187.16711426  629.82177734]
    [1089.27941895  628.96343994]
    [1056.15124512  831.25762939]
    [1071.09228516  658.75994873]
    [1074.38439941  620.75091553]
    [1081.31542969  540.73077393]
    [1131.50915527  589.17108154]
    [1301.77539062  970.5993042 ]
    [1317.34741211 1469.22705078]
    [1328.29309082 1897.58251953]
    [1343.78088379 2192.26391602]
    [1137.86987305  959.80865479]
    [1145.22521973 1441.33227539]
    [1155.69091797 1855.38452148]
    [1149.27319336 2133.81884766]
    [1206.734375    525.12451172]
    [1208.05554199  491.66641235]
    [1235.46203613  472.40151978]
    [1286.94677734  498.05252075]
    [1196.44506836  473.78378296]
    [1180.63061523  500.56759644]
    [1327.40246582 1951.38671875]
    [1160.89624023 1908.93640137]
    [1220.82946777  967.52307129]
    [1219.10974121  849.4631958 ]
    [1219.68164062  736.33105469]
    [1220.23083496  627.69537354]
    [1250.36218262  627.79815674]
    [1352.95092773  630.1182251 ]
    [1354.12719727  838.46630859]
    [1232.61279297  664.83374023]
    [1207.05627441  628.315979  ]
    [1154.60192871  553.36364746]
    [1138.21044922  606.0413208 ]
    [1190.41516113  626.44244385]
    [1093.3215332  624.2467041]
    [1060.9173584   830.48431396]
    [1123.53088379  666.55670166]
